"Mineral Name","Mineral Name (plain)","Country of Type Locality"
"Alumoåkermanite","Alumoakermanite","Tanzania"
"Alumoedtollite","Alumoedtollite","Russia"
"Alumohydrocalcite","Alumohydrocalcite","Russia"
"Alumoklyuchevskite","Alumoklyuchevskite","Russia"
"Alumolukrahnite","Alumolukrahnite","Chile"
"Alumotantite","Alumotantite","Russia"
"Alumovesuvianite","Alumovesuvianite","Canada"
"Alunite","Alunite","Italy / Ukraine"
"Alunogen","Alunogen","?"
"Alvanite","Alvanite","Kazakhstan"
"Alwilkinsite-(Y)","Alwilkinsite-(Y)","USA"
"Amakinite","Amakinite","Russia"
"Amamoorite","Amamoorite","Australia"
"Amarantite","Amarantite","Chile"
"Amarillite","Amarillite","Chile"
"Amblygonite","Amblygonite","Germany"
"Ambrinoite","Ambrinoite","Italy"
"Ameghinite","Ameghinite","Argentina"
"Amesite","Amesite","USA"
"Amgaite","Amgaite","Russia"
"Amicite","Amicite","Germany"
"Aminoffite","Aminoffite","Sweden"
"Ammineite","Ammineite","Chile"
"Ammonioalunite","Ammonioalunite","USA"
"Ammonioborite","Ammonioborite","Italy"
"Ammoniojarosite","Ammoniojarosite","USA"
"Ammoniolasalite","Ammoniolasalite","USA"
"Ammonioleucite","Ammonioleucite","Japan"
"Ammoniomagnesiovoltaite","Ammoniomagnesiovoltaite","Hungary"
"Ammoniomathesiusite","Ammoniomathesiusite","USA"
"Ammoniotinsleyite","Ammoniotinsleyite","Chile"
"Ammoniovoltaite","Ammoniovoltaite","Russia"
"Ammoniozippeite","Ammoniozippeite","USA"
"Amstallite","Amstallite","Austria"
"Analcime","Analcime","Italy"
"Anandite","Anandite","Sri Lanka"
"Anapaite","Anapaite","Russia"
"Anastasenkoite","Anastasenkoite","Israel"
"Anatase","Anatase","France"
"Anatolyite","Anatolyite","Russia"
"Ancylite-(Ce)","Ancylite-(Ce)","Denmark (Greenland)"
"Ancylite-(La)","Ancylite-(La)","Russia"
"Andalusite","Andalusite","Spain"
"Andersonite","Andersonite","USA"
"Andradite","Andradite","Norway"
"Andreadiniite","Andreadiniite","Italy"
"Andrémeyerite","Andremeyerite","Democratic Republic of the Congo"
"Andreybulakhite","Andreybulakhite","Russia"
"Andreyivanovite","Andreyivanovite","Yemen (meteorite)"
"Andrianovite","Andrianovite","Russia"
"Andrieslombaardite","Andrieslombaardite","South Africa"
"Anduoite","Anduoite","China"
"Andychristyite","Andychristyite","USA"
"Andymcdonaldite","Andymcdonaldite","USA"
"Andyrobertsite","Andyrobertsite","Namibia"
"Angarfite","Angarfite","Morocco"
"Angastonite","Angastonite","Australia"
"Ángelaite","Angelaite","Argentina"
"Angelellite","Angelellite","Argentina"
"Anglesite","Anglesite","United Kingdom"
"Anhydrite","Anhydrite","Austria"
"Anhydrokainite","Anhydrokainite","Germany"
"Anilite","Anilite","Japan"
"Ankerite","Ankerite","Austria"
"Ankinovichite","Ankinovichite","Kazakhstan / Kyrgyzstan"
"Annabergite","Annabergite","Germany"
"Annite","Annite","USA"
"Anorpiment","Anorpiment","Peru"
"Anorthite","Anorthite","Italy"
"Anorthominasragrite","Anorthominasragrite","USA"
"Anorthoroselite","Anorthoroselite","Germany"
"Anorthoyttrialite-(Y)","Anorthoyttrialite-(Y)","Norway"
"Ansermetite","Ansermetite","Switzerland"
"Antarcticite","Antarcticite","Antarctica"
"Anthoinite","Anthoinite","Democratic Republic of the Congo"
"Anthonyite","Anthonyite","USA"
"Anthophyllite","Anthophyllite","Norway"
"Antigorite","Antigorite","Italy / Switzerland"
"Antimonselite","Antimonselite","China"
"Antimony","Antimony","Sweden"
"Antipinite","Antipinite","Chile"
"Antipovite","Antipovite","Russia"
"Antlerite","Antlerite","USA"
"Antofagastaite","Antofagastaite","Chile"
"Anyuiite","Anyuiite","Russia"
"Anzaite-(Ce)","Anzaite-(Ce)","Russia"
"Apachite","Apachite","USA"
"Apexite","Apexite","USA"
"Aphthitalite","Aphthitalite","Italy"
"Apjohnite","Apjohnite","South Africa"
"Aplowite","Aplowite","Canada"
"Apuanite","Apuanite","Italy"
"Aqualite","Aqualite","Russia"
"Aradite","Aradite","Israel"
"Aragonite","Aragonite","Spain"
"Arakiite","Arakiite","Sweden"
"Aramayoite","Aramayoite","Bolivia"
"Arangasite","Arangasite","Russia"
"Arapovite","Arapovite","Tajikistan"
"Aravaipaite","Aravaipaite","USA"
"Aravaite","Aravaite","Israel"
"Arcanite","Arcanite","USA"
"Archerite","Archerite","Australia"
"Arctite","Arctite","Russia"
"Arcubisite","Arcubisite","Denmark (Greenland)"
"Ardaite","Ardaite","Bulgaria"
"Ardealite","Ardealite","Romania"
"Ardennite-(As)","Ardennite-(As)","Belgium"
"Ardennite-(V)","Ardennite-(V)","Italy"
"Arfvedsonite","Arfvedsonite","Denmark (Greenland)"
"Argandite","Argandite","Switzerland"
"Argentobaumhauerite","Argentobaumhauerite","Switzerland"
"Argentodufrénoysite","Argentodufrenoysite","Switzerland"
"Argentojarosite","Argentojarosite","USA"
"Argentoliveingite","Argentoliveingite","Switzerland"
