"Mineral Name","Mineral Name (plain)","Country of Type Locality"
"Eugsterite","Eugsterite","Kenya / Turkey"
"Eulytine","Eulytine","Germany"
"Eurekadumpite","Eurekadumpite","USA"
"Euxenite-(Y)","Euxenite-(Y)","Norway"
"Evanichite","Evanichite","USA"
"Evansite","Evansite","Slovakia"
"Evdokimovite","Evdokimovite","Russia"
"Eveite","Eveite","Sweden"
"Evenkite","Evenkite","Russia"
"Eveslogite","Eveslogite","Russia"
"Evseevite","Evseevite","Russia"
"Ewaldite","Ewaldite","USA"
"Ewingite","Ewingite","Czech Republic"
"Eylettersite","Eylettersite","Democratic Republic of the Congo"
"Eyselite","Eyselite","Namibia"
"Ezcurrite","Ezcurrite","Argentina"
"Ezochiite","Ezochiite","Japan"
"Eztlite","Eztlite","Mexico"
"Fabianite","Fabianite","Germany"
"Fabrièsite","Fabriesite","Myanmar"
"Fabritzite","Fabritzite","Greece"
"Faheyite","Faheyite","Brazil"
"Fahleite","Fahleite","Namibia"
"Fairbankite","Fairbankite","USA"
"Fairchildite","Fairchildite","USA"
"Fairfieldite","Fairfieldite","USA"
"Faizievite","Faizievite","Tajikistan"
"Falcondoite","Falcondoite","Dominican Republic"
"Falgarite","Falgarite","Tajikistan"
"Falkmanite","Falkmanite","Germany"
"Falottaite","Falottaite","Switzerland"
"Falsterite","Falsterite","USA"
"Famatinite","Famatinite","Argentina"
"Fanfaniite","Fanfaniite","USA / Germany"
"Fangite","Fangite","USA"
"Fantappièite","Fantappieite","Italy"
"Farneseite","Farneseite","Italy"
"Farringtonite","Farringtonite","Canada"
"Fassinaite","Fassinaite","Italy"
"Faujasite-Ca","Faujasite-Ca","Germany"
"Faujasite-Mg","Faujasite-Mg","Germany"
"Faujasite-Na","Faujasite-Na","Germany"
"Faustite","Faustite","USA"
"Favreauite","Favreauite","Bolivia"
"Fayalite","Fayalite","Portugal"
"Fedorite","Fedorite","Russia"
"Fedorovskite","Fedorovskite","Russia"
"Fedotovite","Fedotovite","Russia"
"Fehrite","Fehrite","Spain"
"Feiite","Feiite","India (meteorite)"
"Feinglosite","Feinglosite","Namibia"
"Feitknechtite","Feitknechtite","USA"
"Feklichevite","Feklichevite","Russia"
"Felbertalite","Felbertalite","Austria"
"Felsőbányaite","Felsobanyaite","Romania"
"Fenaksite","Fenaksite","Russia"
"Fencooperite","Fencooperite","USA"
"Fengchengite","Fengchengite","China"
"Feodosiyite","Feodosiyite","Russia"
"Ferberite","Ferberite","Spain"
"Ferchromide","Ferchromide","Russia"
"Ferdowsiite","Ferdowsiite","Iran"
"Fergusonite-(Ce)","Fergusonite-(Ce)","Ukraine"
"Fergusonite-(Y)","Fergusonite-(Y)","Denmark (Greenland)"
"Ferhodsite","Ferhodsite","Russia"
"Fermiite","Fermiite","USA"
"Fernandinite","Fernandinite","Peru"
"Feroxyhyte","Feroxyhyte","Ukraine"
"Ferraioloite","Ferraioloite","USA"
"Ferrarisite","Ferrarisite","France"
"Ferriakasakaite-(Ce)","Ferriakasakaite-(Ce)","Italy"
"Ferriakasakaite-(La)","Ferriakasakaite-(La)","Japan"
"Ferriallanite-(Ce)","Ferriallanite-(Ce)","Mongolia"
"Ferriallanite-(La)","Ferriallanite-(La)","Germany"
"Ferriandrosite-(Ce)","Ferriandrosite-(Ce)","Slovakia"
"Ferriandrosite-(La)","Ferriandrosite-(La)","Japan"
"Ferribushmakinite","Ferribushmakinite","USA"
"Ferricerite-(LaCa)","Ferricerite-(LaCa)","Russia"
"Ferricopiapite","Ferricopiapite","Chile"
"Ferricoronadite","Ferricoronadite","North Macedonia"
"Ferrierite-K","Ferrierite-K","USA"
"Ferrierite-Mg","Ferrierite-Mg","Canada"
"Ferrierite-Na","Ferrierite-Na","USA"
"Ferrierite-NH<sub>4</sub>","Ferrierite-NH4","Czech Republic"
"Ferri-fluoro-katophorite","Ferri-fluoro-katophorite","Canada"
"Ferri-fluoro-leakeite","Ferri-fluoro-leakeite","Kazakhstan"
"Ferri-ghoseite","Ferri-ghoseite","India"
"Ferri-hellandite-(Ce)","Ferri-hellandite-(Ce)","Norway"
"Ferrihollandite","Ferrihollandite","India"
"Ferrihydrite","Ferrihydrite","Kazakhstan"
"Ferri-kaersutite","Ferri-kaersutite","Antarctica"
"Ferri-katophorite","Ferri-katophorite","Russia"
"Ferri-leakeite","Ferri-leakeite","India"
"Ferrilotharmeyerite","Ferrilotharmeyerite","Namibia"
"Ferrimolybdite","Ferrimolybdite","Russia"
"Ferri-mottanaite-(Ce)","Ferri-mottanaite-(Ce)","Italy"
"Ferrinatrite","Ferrinatrite","Chile"
"Ferri-obertiite","Ferri-obertiite","Germany"
"Ferri-pedrizite","Ferri-pedrizite","Spain"
"Ferriperbøeite-(Ce)","Ferriperboeite-(Ce)","Sweden"
"Ferriperbøeite-(La)","Ferriperboeite-(La)","Russia"
"Ferriprehnite","Ferriprehnite","Japan"
"Ferripyrophyllite","Ferripyrophyllite","Germany"
"Ferrirockbridgeite","Ferrirockbridgeite","USA"
"Ferrisanidine","Ferrisanidine","Russia"
"Ferrisepiolite","Ferrisepiolite","China"
"Ferristrunzite","Ferristrunzite","Belgium"
"Ferrisurite","Ferrisurite","USA"
"Ferrisymplesite","Ferrisymplesite","Canada"
"Ferri-taramite","Ferri-taramite","Sweden"
"Ferrivauxite","Ferrivauxite","Bolivia"
"Ferri-winchite","Ferri-winchite","Russia"
"Ferro-actinolite","Ferro-actinolite","unknown"
"Ferroalluaudite","Ferroalluaudite","France / USA ?"
"Ferroaluminoceladonite","Ferroaluminoceladonite","New Zealand"
"Ferro-anthophyllite","Ferro-anthophyllite","USA"
"Ferroberaunite","Ferroberaunite","United Kingdom"
"Ferrobobfergusonite","Ferrobobfergusonite","USA"
"Ferro-bosiite","Ferro-bosiite","Mozambique"
"Ferrobustamite","Ferrobustamite","United Kingdom"
"Ferrocarpholite","Ferrocarpholite","Indonesia"
"Ferroceladonite","Ferroceladonite","New Zealand"
"Ferrochiavennite","Ferrochiavennite","Norway"
"Ferrodimolybdenite","Ferrodimolybdenite","Jordan"
"Ferro-edenite","Ferro-edenite","unknown"
"Ferroefremovite","Ferroefremovite","Italy"
"Ferroericssonite","Ferroericssonite","USA"
"Ferro-ferri-fluoro-leakeite","Ferro-ferri-fluoro-leakeite","USA"
"Ferro-ferri-holmquistite","Ferro-ferri-holmquistite","Japan"
"Ferro-ferri-hornblende","Ferro-ferri-hornblende","Italy"
"Ferro-ferri-katophorite","Ferro-ferri-katophorite","Argentina"
"Ferro-ferri-nybøite","Ferro-ferri-nyboite","Canada"
"Ferro-ferri-obertiite","Ferro-ferri-obertiite","USA"
"Ferro-ferri-pedrizite","Ferro-ferri-pedrizite","Spain"
"Ferrofettelite","Ferrofettelite","Germany"
"Ferro-fluoro-edenite","Ferro-fluoro-edenite","Italy"
"Ferro-fluoro-pedrizite","Ferro-fluoro-pedrizite","Russia"
"Ferro-gedrite","Ferro-gedrite","France"
"Ferro-glaucophane","Ferro-glaucophane","Italy"
"Ferrohexahydrite","Ferrohexahydrite","Ukraine"
"Ferrohögbomite-2N2S","Ferrohogbomite-2N2S","Algeria"
"Ferro-holmquistite","Ferro-holmquistite","Australia"
"Ferro-hornblende","Ferro-hornblende","unknown"
"Ferroindialite","Ferroindialite","Germany"
"Ferro-katophorite","Ferro-katophorite","Norway"
"Ferrokentbrooksite","Ferrokentbrooksite","Canada"
"Ferrokësterite","Ferrokesterite","United Kingdom"
"Ferrokinoshitalite","Ferrokinoshitalite","South Africa"
"Ferrolaueite","Ferrolaueite","USA"
"Ferromerrillite","Ferromerrillite","India (meteorite)"
"Ferronickelplatinum","Ferronickelplatinum","Russia"
"Ferronigerite-2<i>N</i>1S","Ferronigerite-2N1S","Nigeria"
"Ferronigerite-6<i>N</i>6S","Ferronigerite-6N6S","Finland"
"Ferronordite-(Ce)","Ferronordite-(Ce)","Russia"
"Ferronordite-(La)","Ferronordite-(La)","Russia"
"Ferro-papikeite","Ferro-papikeite","Sweden"
"Ferro-pargasite","Ferro-pargasite","United Kingdom"
"Ferro-pedrizite","Ferro-pedrizite","Russia"
"Ferroqingheiite","Ferroqingheiite","Brazil"
"Ferrorhodonite","Ferrorhodonite","Australia"
"Ferro-richterite","Ferro-richterite","unknown"
"Ferrorockbridgeite","Ferrorockbridgeite","Germany"
"Ferrorosemaryite","Ferrorosemaryite","Rwanda"
"Ferrosaponite","Ferrosaponite","Russia"
"Ferroselite","Ferroselite","Russia"
"Ferrosilite","Ferrosilite","unknown"
"Ferroskutterudite","Ferroskutterudite","Russia"
"Ferrostalderite","Ferrostalderite","Switzerland"
"Ferrostrunzite","Ferrostrunzite","USA"
"Ferrotaaffeite-2<i>N</i>'2S","Ferrotaaffeite-2N2S","China"
"Ferrotaaffeite-6<i>N</i>'3S","Ferrotaaffeite-6N3S","Finland"
"Ferro-taramite","Ferro-taramite","Norway"
"Ferrotitanowodginite","Ferrotitanowodginite","Argentina"
"Ferrotochilinite","Ferrotochilinite","Russia"
"Ferrotorryweiserite","Ferrotorryweiserite","Russia"
"Ferro-tschermakite","Ferro-tschermakite","France"
"Ferrotychite","Ferrotychite","Russia"
"Ferrovalleriite","Ferrovalleriite","Russia"
"Ferrovorontsovite","Ferrovorontsovite","Russia"
"Ferrowodginite","Ferrowodginite","Finland"
"Ferrowyllieite","Ferrowyllieite","USA"
"Ferruccite","Ferruccite","Italy"
"Fersmanite","Fersmanite","Russia"
"Fersmite","Fersmite","Russia"
"Feruvite","Feruvite","New Zealand"
"Fervanite","Fervanite","USA"
"Fetiasite","Fetiasite","Italy / Switzerland"
"Fettelite","Fettelite","Germany"
"Feynmanite","Feynmanite","USA"
"Fianelite","Fianelite","Switzerland"
"Fibroferrite","Fibroferrite","Chile"
"Fichtelite","Fichtelite","Germany"
"Fiedlerite","Fiedlerite","Greece"
"Fiemmeite","Fiemmeite","Italy"
"Filatovite","Filatovite","Russia"
"Filipstadite","Filipstadite","Sweden"
"Fillowite","Fillowite","USA"
"Finchite","Finchite","USA"
"Finescreekite","Finescreekite","USA"
"Fingerite","Fingerite","El Salvador"
"Finnemanite","Finnemanite","Sweden"
"Fischesserite","Fischesserite","Czech Republic"
"Fivegite","Fivegite","Russia"
"Fizélyite","Fizelyite","Romania"
"Flaggite","Flaggite","USA"
"Flagstaffite","Flagstaffite","USA"
"Flamite","Flamite","Israel"
"Fleetite","Fleetite","Russia"
"Fleischerite","Fleischerite","Namibia"
"Fleisstalite","Fleisstalite","Austria"
"Fletcherite","Fletcherite","USA"
"Flinkite","Flinkite","Sweden"
"Flinteite","Flinteite","Russia"
"Florencite-(Ce)","Florencite-(Ce)","Brazil"
"Florencite-(La)","Florencite-(La)","Democratic Republic of the Congo"
"Florencite-(Nd)","Florencite-(Nd)","USA"
"Florencite-(Sm)","Florencite-(Sm)","Russia"
"Florenskyite","Florenskyite","Yemen (meteorite)"
"Florensovite","Florensovite","Russia"
"Flörkeite","Florkeite","Germany"
"Fluckite","Fluckite","France"
"Fluellite","Fluellite","United Kingdom"
"Fluoborite","Fluoborite","Sweden"
"Fluocerite-(Ce)","Fluocerite-(Ce)","Sweden"
"Fluocerite-(La)","Fluocerite-(La)","Kazakhstan"
"Fluoralforsite","Fluoralforsite","Israel"
"Fluorannite","Fluorannite","China"
"Fluorapatite","Fluorapatite","Austria / Germany / Spain / Switzerland"
"Fluorapophyllite-(Cs)","Fluorapophyllite-(Cs)","Tajikistan"
"Fluorapophyllite-(K)","Fluorapophyllite-(K)","India"
"Fluorapophyllite-(Na)","Fluorapophyllite-(Na)","Japan"
"Fluorapophyllite-(NH_4_)","Fluorapophyllite-(NH4)","Slovakia"
"Fluorarrojadite-(BaFe)","Fluorarrojadite-(BaFe)","Morocco"
"Fluorarrojadite-(BaNa)","Fluorarrojadite-(BaNa)","Slovakia"
"Fluorbarytolamprophyllite","Fluorbarytolamprophyllite","Russia"
"Fluorbritholite-(Ce)","Fluorbritholite-(Ce)","Canada"
"Fluorbritholite-(Nd)","Fluorbritholite-(Nd)","Sweden"
"Fluorbritholite-(Y)","Fluorbritholite-(Y)","Norway"
"Fluor-buergerite","Fluor-buergerite","Mexico"
"Fluorcalciobritholite","Fluorcalciobritholite","Russia"
"Fluorcalciomicrolite","Fluorcalciomicrolite","Brazil"
"Fluorcalciopyrochlore","Fluorcalciopyrochlore","China"
"Fluorcalcioroméite","Fluorcalcioromeite","Switzerland"
"Fluorcanasite","Fluorcanasite","Russia"
"Fluorcaphite","Fluorcaphite","Russia"
"Fluorcarletonite","Fluorcarletonite","Russia"
"Fluorcarmoite-(BaNa)","Fluorcarmoite-(BaNa)","Italy"
"Fluorchegemite","Fluorchegemite","Russia"
"Fluor-dravite","Fluor-dravite","USA"
"Fluor-elbaite","Fluor-elbaite","Brazil"
"Fluorellestadite","Fluorellestadite","Russia"
"Fluorite","Fluorite","unknown"
"Fluorkyuygenite","Fluorkyuygenite","Israel"
"Fluorlamprophyllite","Fluorlamprophyllite","Brazil"
"Fluor-liddicoatite","Fluor-liddicoatite","Madagascar"
"Fluorluanshiweiite","Fluorluanshiweiite","China"
"Fluormayenite","Fluormayenite","Palestine"
"Fluornatrocoulsellite","Fluornatrocoulsellite","Australia"
"Fluornatromicrolite","Fluornatromicrolite","Brazil"
"Fluornatropyrochlore","Fluornatropyrochlore","China"
"Fluoro-cannilloite","Fluoro-cannilloite","Finland"
"Fluorocronite","Fluorocronite","Russia"
"Fluoro-edenite","Fluoro-edenite","Italy"
"Fluorokinoshitalite","Fluorokinoshitalite","China"
"Fluoro-leakeite","Fluoro-leakeite","Sweden"
"Fluoro-nybøite","Fluoro-nyboite","China"
"Fluoro-pargasite","Fluoro-pargasite","USA"
"Fluoro-pedrizite","Fluoro-pedrizite","Russia"
"Fluorophlogopite","Fluorophlogopite","Italy"
"Fluoro-richterite","Fluoro-richterite","Russia"
"Fluoro-riebeckite","Fluoro-riebeckite","USA"
"Fluoro-taramite","Fluoro-taramite","China"
"Fluorotetraferriphlogopite","Fluorotetraferriphlogopite","China"
"Fluoro-tremolite","Fluoro-tremolite","USA"
"Fluorowardite","Fluorowardite","USA"
"Fluorphosphohedyphane","Fluorphosphohedyphane","USA"
"Fluorpyromorphite","Fluorpyromorphite","Russia"
"Fluor-schorl","Fluor-schorl","Germany / Italy"
"Fluorsigaiite","Fluorsigaiite","China"
"Fluorstrophite","Fluorstrophite","Russia"
"Fluor-tsilaisite","Fluor-tsilaisite","Italy"
"Fluor-uvite","Fluor-uvite","Sri Lanka"
"Fluorvesuvianite","Fluorvesuvianite","Russia"
"Fluorwavellite","Fluorwavellite","USA"
"Flurlite","Flurlite","Germany"
"Foggite","Foggite","USA"
"Fogoite-(Y)","Fogoite-(Y)","Portugal"
"Foitite","Foitite","USA"
"Folvikite","Folvikite","Sweden"
"Fontanite","Fontanite","France"
"Fontarnauite","Fontarnauite","Turkey"
"Foordite","Foordite","Rwanda"
"Footemineite","Footemineite","USA"
"Forêtite","Foretite","France"
"Formanite-(Y)","Formanite-(Y)","Australia"
"Formicaite","Formicaite","Russia"
"Fornacite","Fornacite","Republic of the Congo"
"Forsterite","Forsterite","Italy"
"Foshagite","Foshagite","USA"
"Fougèrite","Fougerite","France"
"Fourmarierite","Fourmarierite","Democratic Republic of the Congo"
"Fowlerite","Fowlerite","USA"
"Fraipontite","Fraipontite","Belgium"
"Francevillite","Francevillite","Gabon"
"Franciscanite","Franciscanite","USA"
"Francisite","Francisite","Australia"
"Franckeite","Franckeite","Bolivia"
"Francoanellite","Francoanellite","Italy"
"Françoisite-(Ce)","Francoisite-(Ce)","Switzerland / Australia"
"Françoisite-(Nd)","Francoisite-(Nd)","Democratic Republic of the Congo"
"Franconite","Franconite","Canada"
"Frankamenite","Frankamenite","Russia"
"Frankdicksonite","Frankdicksonite","USA"
"Frankhawthorneite","Frankhawthorneite","USA"
"Franklinfurnaceite","Franklinfurnaceite","USA"
"Franklinite","Franklinite","USA"
"Franklinphilite","Franklinphilite","USA"
"Franksousaite","Franksousaite","Bolivia"
"Fransoletite","Fransoletite","USA"
"Franzinite","Franzinite","Italy"
"Freboldite","Freboldite","Germany"
"Fredrikssonite","Fredrikssonite","Sweden"
"Freedite","Freedite","Sweden"
"Freieslebenite","Freieslebenite","Germany"
"Freitalite","Freitalite","Germany"
"Fresnoite","Fresnoite","USA"
"Freudenbergite","Freudenbergite","Germany"
"Friedelite","Friedelite","France"
"Friedrichbeckeite","Friedrichbeckeite","Germany"
"Friedrichite","Friedrichite","Austria"
"Fritzscheite","Fritzscheite","Czech Republic / Germany"
"Frohbergite","Frohbergite","Canada"
"Frolovite","Frolovite","Russia"
"Frondelite","Frondelite","Brazil"
"Froodite","Froodite","Canada"
"Fuenzalidaite","Fuenzalidaite","Chile"
"Fuettererite","Fuettererite","USA"
"Fukalite","Fukalite","Japan"
"Fukuchilite","Fukuchilite","Japan"
"Fulbrightite","Fulbrightite","USA"
"Fülöppite","Fuloppite","Romania"
"Furongite","Furongite","China"
"Furutobeite","Furutobeite","Japan"
"Gabrielite","Gabrielite","Switzerland"
"Gabrielsonite","Gabrielsonite","Sweden"
"Gachingite","Gachingite","Russia"
"Gadolinite-(Ce)","Gadolinite-(Ce)","Norway"
"Gadolinite-(Nd)","Gadolinite-(Nd)","Sweden"
"Gadolinite-(Y)","Gadolinite-(Y)","Sweden"
"Gagarinite-(Ce)","Gagarinite-(Ce)","Canada"
"Gagarinite-(Y)","Gagarinite-(Y)","Kazakhstan"
"Gageite","Gageite","USA"
"Gahnite","Gahnite","Sweden"
"Gaidonnayite","Gaidonnayite","Canada"
"Gaildunningite","Gaildunningite","USA"
"Gainesite","Gainesite","USA"
"Gaitite","Gaitite","Namibia"
"Gajardoite","Gajardoite","Chile"
"Galaxite","Galaxite","USA"
"Galeaclolusite","Galeaclolusite","France"
"Galeite","Galeite","USA"
"Galena","Galena","unknown"
"Galenobismutite","Galenobismutite","Sweden"
"Galgenbergite-(Ce)","Galgenbergite-(Ce)","Austria"
"Galileiite","Galileiite","USA (meteorite)"
"Galkhaite","Galkhaite","Kyrgyzstan / Russia"
"Galliskiite","Galliskiite","Argentina"
"Gallite","Gallite","Democratic Republic of the Congo / Namibia"
"Gallobeudantite","Gallobeudantite","Namibia"
"Galloplumbogummite","Galloplumbogummite","Namibia"
"Galuskinite","Galuskinite","Russia"
"Gamagarite","Gamagarite","South Africa"
"Gananite","Gananite","China"
"Ganomalite","Ganomalite","Sweden"
"Ganophyllite","Ganophyllite","Sweden"
"Ganterite","Ganterite","Switzerland"
"Gaotaiite","Gaotaiite","China"
"Garavellite","Garavellite","Italy"
"Garmite","Garmite","Tajikistan"
"Garpenbergite","Garpenbergite","Sweden"
"Garrelsite","Garrelsite","USA"
"Garronite-Ca","Garronite-Ca","United Kingdom"
"Garronite-Na","Garronite-Na","Canada"
"Gartrellite","Gartrellite","Australia"
"Garutiite","Garutiite","Dominican Republic"
"Garyansellite","Garyansellite","Canada"
"Gasparite-(Ce)","Gasparite-(Ce)","Italy"
"Gasparite-(La)","Gasparite-(La)","Kazakhstan"
"Gaspéite","Gaspeite","Canada"
"Gatedalite","Gatedalite","Sweden"
"Gatehouseite","Gatehouseite","Australia"
"Gatelite-(Ce)","Gatelite-(Ce)","France"
"Gatewayite","Gatewayite","USA"
"Gatumbaite","Gatumbaite","Rwanda"
"Gaudefroyite","Gaudefroyite","Morocco"
"Gaultite","Gaultite","Canada"
"Gauthierite","Gauthierite","Democratic Republic of the Congo"
"Gayite","Gayite","Argentina"
"Gaylussite","Gaylussite","Venezuela"
"Gazeevite","Gazeevite","Georgia / Israel"
"Gearksutite","Gearksutite","Denmark (Greenland)"
"Gebhardite","Gebhardite","Namibia"
"Gedrite","Gedrite","France"
"Geerite","Geerite","USA"
"Geffroyite","Geffroyite","France"
"Gehlenite","Gehlenite","Italy"
"Geigerite","Geigerite","Switzerland"
"Geikielite","Geikielite","Sri Lanka"
"Gelosaite","Gelosaite","Italy"
"Geminite","Geminite","France"
"Gengenbachite","Gengenbachite","Germany"
"Genkinite","Genkinite","South Africa"
"Genplesite","Genplesite","Russia"
"Genthelvite","Genthelvite","USA"
"Geocronite","Geocronite","Sweden"
"Georgbarsanovite","Georgbarsanovite","Russia"
"Georgbokiite","Georgbokiite","Russia"
"Georgechaoite","Georgechaoite","USA"
"George-ericksenite","George-ericksenite","Chile"
"Georgeite","Georgeite","Australia"
"Georgerobinsonite","Georgerobinsonite","USA"
"Georgiadesite","Georgiadesite","Greece"
"Gerasimovskite","Gerasimovskite","Russia"
"Gerdtremmelite","Gerdtremmelite","Namibia"
"Gerenite-(Y)","Gerenite-(Y)","Canada"
"Gerhardtite","Gerhardtite","USA"
"Germanite","Germanite","Namibia"
"Germanocolusite","Germanocolusite","Russia / Kazakhstan / Namibia / Bulgaria"
"Gersdorffite","Gersdorffite","Austria"
"Gerstleyite","Gerstleyite","USA"
"Gerstmannite","Gerstmannite","USA"
"Geschieberite","Geschieberite","Czech Republic"
"Getchellite","Getchellite","USA"
"Geversite","Geversite","South Africa"
"Ghiaraite","Ghiaraite","Italy"
"Giacovazzoite","Giacovazzoite","Italy"
"Gianellaite","Gianellaite","USA"
"Gibbsite","Gibbsite","USA"
"Giessenite","Giessenite","Switzerland"
"Giftgrubeite","Giftgrubeite","France"
"Gilalite","Gilalite","USA"
"Gillardite","Gillardite","Australia"
"Gillespite","Gillespite","USA"
"Gillulyite","Gillulyite","USA"
"Gilmarite","Gilmarite","France"
"Ginelfite","Ginelfite","France"
"Giniite","Giniite","Namibia"
"Ginorite","Ginorite","Italy"
"Giorgiosite","Giorgiosite","Greece"
"Giraudite-(Zn)","Giraudite-(Zn)","France"
"Girvasite","Girvasite","Russia"
"Gismondine-Ca","Gismondine-Ca","Italy"
"Gismondine-Sr","Gismondine-Sr","Israel"
"Gittinsite","Gittinsite","Canada"
"Giuseppettite","Giuseppettite","Italy"
"Gjerdingenite-Ca","Gjerdingenite-Ca","Russia"
"Gjerdingenite-Fe","Gjerdingenite-Fe","Norway"
"Gjerdingenite-Mn","Gjerdingenite-Mn","Norway"
"Gjerdingenite-Na","Gjerdingenite-Na","Canada"
"Gladite","Gladite","Sweden"
"Gladiusite","Gladiusite","Russia"
"Gladkovskyite","Gladkovskyite","Russia"
"Glagolevite","Glagolevite","Russia"
"Glauberite","Glauberite","Spain"
"Glaucocerinite","Glaucocerinite","Greece"
"Glaucochroite","Glaucochroite","USA"
"Glaucodot","Glaucodot","Chile"
"Glaucophane","Glaucophane","Greece"
"Glaukosphaerite","Glaukosphaerite","Australia"
"Glecklerite","Glecklerite","USA"
"Glikinite","Glikinite","Russia"
"Glucine","Glucine","Russia"
"Glushinskite","Glushinskite","Russia"
"Gmalimite","Gmalimite","Israel"
"Gmelinite-Ca","Gmelinite-Ca","Italy"
"Gmelinite-K","Gmelinite-K","Russia / Italy"
"Gmelinite-Na","Gmelinite-Na","United Kingdom / Italy"
"Gobbinsite","Gobbinsite","United Kingdom"
"Gobelinite","Gobelinite","France / Germany"
"Godlevskite","Godlevskite","Russia"
"Godovikovite","Godovikovite","Russia"
"Goedkenite","Goedkenite","USA"
"Goethite","Goethite","Germany"
"Gold","Gold","unknown"
"Goldfieldite","Goldfieldite","USA"
"Goldhillite","Goldhillite","USA"
"Goldichite","Goldichite","USA"
"Goldmanite","Goldmanite","USA"
"Goldquarryite","Goldquarryite","USA"
"Goldschmidtite","Goldschmidtite","South Africa"
"Golyshevite","Golyshevite","Russia"
"Gonnardite","Gonnardite","France"
"Gonyerite","Gonyerite","Sweden"
"Goosecreekite","Goosecreekite","USA"
"Gorbunovite","Gorbunovite","Tajikistan"
"Gorceixite","Gorceixite","Brazil"
"Gordaite","Gordaite","Chile"
"Gordonite","Gordonite","USA"
"Gorerite","Gorerite","Israel"
"Görgeyite","Gorgeyite","Austria"
"Gormanite","Gormanite","Canada"
"Gortdrumite","Gortdrumite","Ireland"
"Goryainovite","Goryainovite","Sweden"
"Goslarite","Goslarite","Germany"
"Gottardiite","Gottardiite","Antarctica"
"Gottlobite","Gottlobite","Germany"
"Götzenite","Gotzenite","Democratic Republic of the Congo"
"Goudeyite","Goudeyite","USA"
"Gowerite","Gowerite","USA"
"Goyazite","Goyazite","Brazil"
"Graemite","Graemite","USA"
"Graeserite","Graeserite","Switzerland"
"Graftonite","Graftonite","USA"
"Graftonite-(Ca)","Graftonite-(Ca)","Poland"
"Graftonite-(Mn)","Graftonite-(Mn)","Poland"
"Gramaccioliite-(Y)","Gramaccioliite-(Y)","Italy"
"Grammatikopoulosite","Grammatikopoulosite","Greece"
"Grandaite","Grandaite","Italy"
"Grandidierite","Grandidierite","Madagascar"
"Grandreefite","Grandreefite","USA"
"Grandviewite","Grandviewite","USA"
"Grantsite","Grantsite","USA"
"Graphite","Graphite","unknown"
"Graţianite","Gratianite","Romania"
"Gratonite","Gratonite","Peru"
"Grattarolaite","Grattarolaite","Italy"
"Graulichite-(Ce)","Graulichite-(Ce)","Belgium"
"Graulichite-(La)","Graulichite-(La)","Morocco"
"Gravegliaite","Gravegliaite","Italy"
"Grayite","Grayite","Zimbabwe"
"Grechishchevite","Grechishchevite","Russia"
"Greenalite","Greenalite","USA"
"Greenlizardite","Greenlizardite","USA"
"Greenockite","Greenockite","United Kingdom"
"Greenwoodite","Greenwoodite","Canada"
"Gregoryite","Gregoryite","Tanzania"
"Greifensteinite","Greifensteinite","Germany"
"Greigite","Greigite","USA"
"Grenmarite","Grenmarite","Norway"
"Grguricite","Grguricite","Morocco"
"Griceite","Griceite","Canada"
"Griffinite","Griffinite","Israel"
"Grigorievite","Grigorievite","Russia"
"Grimaldiite","Grimaldiite","Guyana"
"Grimmite","Grimmite","Czech Republic"
"Grimselite","Grimselite","Switzerland"
"Griphite","Griphite","USA"
"Grischunite","Grischunite","Switzerland"
"Groatite","Groatite","Canada"
"Grokhovskyite","Grokhovskyite","Russia (meteorite)"
"Grootfonteinite","Grootfonteinite","Namibia"
"Grossite","Grossite","Algeria (meteorite) / Israel"
"Grossmanite","Grossmanite","Mexico (meteorite)"
"Grossular","Grossular","Russia"
"Groutite","Groutite","USA"
"Grumantite","Grumantite","Russia"
"Grumiplucite","Grumiplucite","Italy"
"Grundmannite","Grundmannite","Bolivia"
"Grunerite","Grunerite","France"
"Gruzdevite","Gruzdevite","Kyrgyzstan"
"Guanacoite","Guanacoite","Chile"
"Guanajuatite","Guanajuatite","Mexico"
"Guangyuanite","Guangyuanite","Bolivia"
"Guanine","Guanine","Peru"
"Guarinoite","Guarinoite","France"
"Gudmundite","Gudmundite","Sweden"
"Guérinite","Guerinite","Germany"
"Guettardite","Guettardite","Canada"
"Gugiaite","Gugiaite","China"
"Guidottiite","Guidottiite","South Africa"
"Guildite","Guildite","USA"
"Guilleminite","Guilleminite","Democratic Republic of the Congo"
"Guimarãesite","Guimaraesite","Brazil"
"Guite","Guite","Democratic Republic of the Congo"
"Gungerite","Gungerite","Russia"
"Gunmaite","Gunmaite","Japan"
"Gunningite","Gunningite","Canada"
"Günterblassite","Gunterblassite","Germany"
"Gunterite","Gunterite","USA"
"Gupeiite","Gupeiite","China (meteorite)"
"Gurimite","Gurimite","Israel"
"Gurzhiite","Gurzhiite","Russia"
"Gustavite","Gustavite","Denmark (Greenland)"
"Gutkovaite-Mn","Gutkovaite-Mn","Russia"
"Guyanaite","Guyanaite","Guyana"
"Gwihabaite","Gwihabaite","Botswana"
"Gypsum","Gypsum","unknown"
"Gyrolite","Gyrolite","United Kingdom"
"Gysinite-(Ce)","Gysinite-(Ce)","Germany"
"Gysinite-(La)","Gysinite-(La)","China"
"Gysinite-(Nd)","Gysinite-(Nd)","Democratic Republic of the Congo"
"Haapalaite","Haapalaite","Finland"
